"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1000000US060750101011000","Block 1000, Block Group 1, Census Tract 101.01, San Francisco County, California","0",
"1000000US060750101011001","Block 1001, Block Group 1, Census Tract 101.01, San Francisco County, California","15",
"1000000US060750101011002","Block 1002, Block Group 1, Census Tract 101.01, San Francisco County, California","3",
"1000000US060750101011003","Block 1003, Block Group 1, Census Tract 101.01, San Francisco County, California","0",
"1000000US060750101011004","Block 1004, Block Group 1, Census Tract 101.01, San Francisco County, California","0",
"1000000US060750101011005","Block 1005, Block Group 1, Census Tract 101.01, San Francisco County, California","4",
"1000000US060750101011006","Block 1006, Block Group 1, Census Tract 101.01, San Francisco County, California","10",
"1000000US060750101011007","Block 1007, Block Group 1, Census Tract 101.01, San Francisco County, California","0",
"1000000US060750101011008","Block 1008, Block Group 1, Census Tract 101.01, San Francisco County, California","0",
"1000000US060750101011009","Block 1009, Block Group 1, Census Tract 101.01, San Francisco County, California","172",
"1000000US060750101011010","Block 1010, Block Group 1, Census Tract 101.01, San Francisco County, California","0",
"1000000US060750101011011","Block 1011, Block Group 1, Census Tract 101.01, San Francisco County, California","5",
"1000000US060750101011012","Block 1012, Block Group 1, Census Tract 101.01, San Francisco County, California","0",
"1000000US060750101011013","Block 1013, Block Group 1, Census Tract 101.01, San Francisco County, California","0",
"1000000US060750101011014","Block 1014, Block Group 1, Census Tract 101.01, San Francisco County, California","0",
"1000000US060750101011015","Block 1015, Block Group 1, Census Tract 101.01, San Francisco County, California","420",
"1000000US060750101011016","Block 1016, Block Group 1, Census Tract 101.01, San Francisco County, California","116",
"1000000US060750101011017","Block 1017, Block Group 1, Census Tract 101.01, San Francisco County, California","38",
"1000000US060750101011018","Block 1018, Block Group 1, Census Tract 101.01, San Francisco County, California","0",
"1000000US060750101011019","Block 1019, Block Group 1, Census Tract 101.01, San Francisco County, California","12",
"1000000US060750101011020","Block 1020, Block Group 1, Census Tract 101.01, San Francisco County, California","20",
"1000000US060750101011021","Block 1021, Block Group 1, Census Tract 101.01, San Francisco County, California","23",
"1000000US060750101012000","Block 2000, Block Group 2, Census Tract 101.01, San Francisco County, California","0",
"1000000US060750101012001","Block 2001, Block Group 2, Census Tract 101.01, San Francisco County, California","2",
"1000000US060750101012002","Block 2002, Block Group 2, Census Tract 101.01, San Francisco County, California","0",
"1000000US060750101012003","Block 2003, Block Group 2, Census Tract 101.01, San Francisco County, California","421",
"1000000US060750101012004","Block 2004, Block Group 2, Census Tract 101.01, San Francisco County, California","161",
"1000000US060750101012005","Block 2005, Block Group 2, Census Tract 101.01, San Francisco County, California","265",
"1000000US060750101012006","Block 2006, Block Group 2, Census Tract 101.01, San Francisco County, California","56",
"1000000US060750101012007","Block 2007, Block Group 2, Census Tract 101.01, San Francisco County, California","50",
"1000000US060750101012008","Block 2008, Block Group 2, Census Tract 101.01, San Francisco County, California","101",
"1000000US060750101012009","Block 2009, Block Group 2, Census Tract 101.01, San Francisco County, California","83",
"1000000US060750101012010","Block 2010, Block Group 2, Census Tract 101.01, San Francisco County, California","49",
"1000000US060750101012011","Block 2011, Block Group 2, Census Tract 101.01, San Francisco County, California","0",
"1000000US060750101021000","Block 1000, Block Group 1, Census Tract 101.02, San Francisco County, California","97",
"1000000US060750101021001","Block 1001, Block Group 1, Census Tract 101.02, San Francisco County, California","560",
"1000000US060750101021002","Block 1002, Block Group 1, Census Tract 101.02, San Francisco County, California","397",
"1000000US060750101021003","Block 1003, Block Group 1, Census Tract 101.02, San Francisco County, California","43",
"1000000US060750101021004","Block 1004, Block Group 1, Census Tract 101.02, San Francisco County, California","54",
"1000000US060750101021005","Block 1005, Block Group 1, Census Tract 101.02, San Francisco County, California","411",
"1000000US060750101021006","Block 1006, Block Group 1, Census Tract 101.02, San Francisco County, California","179",
"1000000US060750101021007","Block 1007, Block Group 1, Census Tract 101.02, San Francisco County, California","259",
"1000000US060750102011000","Block 1000, Block Group 1, Census Tract 102.01, San Francisco County, California","59",
"1000000US060750102011001","Block 1001, Block Group 1, Census Tract 102.01, San Francisco County, California","60",
"1000000US060750102011002","Block 1002, Block Group 1, Census Tract 102.01, San Francisco County, California","116",
"1000000US060750102011003","Block 1003, Block Group 1, Census Tract 102.01, San Francisco County, California","224",
"1000000US060750102011004","Block 1004, Block Group 1, Census Tract 102.01, San Francisco County, California","352",
"1000000US060750102011005","Block 1005, Block Group 1, Census Tract 102.01, San Francisco County, California","164",
"1000000US060750102011006","Block 1006, Block Group 1, Census Tract 102.01, San Francisco County, California","202",
"1000000US060750102011007","Block 1007, Block Group 1, Census Tract 102.01, San Francisco County, California","0",
"1000000US060750102011008","Block 1008, Block Group 1, Census Tract 102.01, San Francisco County, California","218",
"1000000US060750102012000","Block 2000, Block Group 2, Census Tract 102.01, San Francisco County, California","187",
"1000000US060750102012001","Block 2001, Block Group 2, Census Tract 102.01, San Francisco County, California","232",
"1000000US060750102012002","Block 2002, Block Group 2, Census Tract 102.01, San Francisco County, California","242",
"1000000US060750102012003","Block 2003, Block Group 2, Census Tract 102.01, San Francisco County, California","412",
"1000000US060750102021000","Block 1000, Block Group 1, Census Tract 102.02, San Francisco County, California","0",
"1000000US060750102021001","Block 1001, Block Group 1, Census Tract 102.02, San Francisco County, California","0",
"1000000US060750102021002","Block 1002, Block Group 1, Census Tract 102.02, San Francisco County, California","0",
"1000000US060750102021003","Block 1003, Block Group 1, Census Tract 102.02, San Francisco County, California","0",
"1000000US060750102021004","Block 1004, Block Group 1, Census Tract 102.02, San Francisco County, California","10",
