"GEO_ID","NAME","P3_001N","P3_002N","P3_003N","P3_004N","P3_005N","P3_006N","P3_007N","P3_008N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!White alone"," !!Total:!!Black or African American alone"," !!Total:!!American Indian and Alaska Native alone"," !!Total:!!Asian alone"," !!Total:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Some Other Race alone"," !!Total:!!Two or More Races",
"1000000US060750101011000","Block 1000, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750101011001","Block 1001, Block Group 1, Census Tract 101.01, San Francisco County, California","15","8","5","2","0","0","0","0",
"1000000US060750101011002","Block 1002, Block Group 1, Census Tract 101.01, San Francisco County, California","3","3","0","0","0","0","0","0",
"1000000US060750101011003","Block 1003, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750101011004","Block 1004, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750101011005","Block 1005, Block Group 1, Census Tract 101.01, San Francisco County, California","4","3","0","0","0","0","1","0",
"1000000US060750101011006","Block 1006, Block Group 1, Census Tract 101.01, San Francisco County, California","10","4","3","0","0","0","1","2",
"1000000US060750101011007","Block 1007, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750101011008","Block 1008, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750101011009","Block 1009, Block Group 1, Census Tract 101.01, San Francisco County, California","172","94","6","0","45","1","8","18",
"1000000US060750101011010","Block 1010, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750101011011","Block 1011, Block Group 1, Census Tract 101.01, San Francisco County, California","5","1","0","0","0","2","2","0",
"1000000US060750101011012","Block 1012, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750101011013","Block 1013, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750101011014","Block 1014, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750101011015","Block 1015, Block Group 1, Census Tract 101.01, San Francisco County, California","420","239","13","0","114","0","13","41",
"1000000US060750101011016","Block 1016, Block Group 1, Census Tract 101.01, San Francisco County, California","116","52","5","0","31","0","3","25",
"1000000US060750101011017","Block 1017, Block Group 1, Census Tract 101.01, San Francisco County, California","38","24","4","0","2","0","0","8",
"1000000US060750101011018","Block 1018, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750101011019","Block 1019, Block Group 1, Census Tract 101.01, San Francisco County, California","12","9","0","0","1","0","2","0",
