"GEO_ID","NAME","H4_001N","H4_002N","H4_003N","H4_004N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Owned with a mortgage or a loan"," !!Total:!!Owned free and clear"," !!Total:!!Renter occupied",
"1000000US060750101011000","Block 1000, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0",
"1000000US060750101011001","Block 1001, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0",
"1000000US060750101011002","Block 1002, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0",
"1000000US060750101011003","Block 1003, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0",
"1000000US060750101011004","Block 1004, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0",
"1000000US060750101011005","Block 1005, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0",
"1000000US060750101011006","Block 1006, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0",
"1000000US060750101011007","Block 1007, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0",
"1000000US060750101011008","Block 1008, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0",
"1000000US060750101011009","Block 1009, Block Group 1, Census Tract 101.01, San Francisco County, California","122","3","4","115",
"1000000US060750101011010","Block 1010, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0",
"1000000US060750101011011","Block 1011, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0",
"1000000US060750101011012","Block 1012, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0",
"1000000US060750101011013","Block 1013, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0",
"1000000US060750101011014","Block 1014, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0",
"1000000US060750101011015","Block 1015, Block Group 1, Census Tract 101.01, San Francisco County, California","302","8","1","293",
"1000000US060750101011016","Block 1016, Block Group 1, Census Tract 101.01, San Francisco County, California","69","0","0","69",
"1000000US060750101011017","Block 1017, Block Group 1, Census Tract 101.01, San Francisco County, California","12","0","0","12",
"1000000US060750101011018","Block 1018, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0",
"1000000US060750101011019","Block 1019, Block Group 1, Census Tract 101.01, San Francisco County, California","0","0","0","0",
"1000000US060750101011020","Block 1020, Block Group 1, Census Tract 101.01, San Francisco County, California","1","0","0","1",
"1000000US060750101011021","Block 1021, Block Group 1, Census Tract 101.01, San Francisco County, California","1","0","1","0",
"1000000US060750101012000","Block 2000, Block Group 2, Census Tract 101.01, San Francisco County, California","0","0","0","0",
"1000000US060750101012001","Block 2001, Block Group 2, Census Tract 101.01, San Francisco County, California","0","0","0","0",
"1000000US060750101012002","Block 2002, Block Group 2, Census Tract 101.01, San Francisco County, California","0","0","0","0",
"1000000US060750101012003","Block 2003, Block Group 2, Census Tract 101.01, San Francisco County, California","285","55","21","209",
"1000000US060750101012004","Block 2004, Block Group 2, Census Tract 101.01, San Francisco County, California","97","7","20","70",
"1000000US060750101012005","Block 2005, Block Group 2, Census Tract 101.01, San Francisco County, California","198","0","0","198",
"1000000US060750101012006","Block 2006, Block Group 2, Census Tract 101.01, San Francisco County, California","35","1","0","34",
"1000000US060750101012007","Block 2007, Block Group 2, Census Tract 101.01, San Francisco County, California","22","13","0","9",
"1000000US060750101012008","Block 2008, Block Group 2, Census Tract 101.01, San Francisco County, California","55","0","2","53",
"1000000US060750101012009","Block 2009, Block Group 2, Census Tract 101.01, San Francisco County, California","46","0","0","46",
"1000000US060750101012010","Block 2010, Block Group 2, Census Tract 101.01, San Francisco County, California","19","0","0","19",
"1000000US060750101012011","Block 2011, Block Group 2, Census Tract 101.01, San Francisco County, California","0","0","0","0",
"1000000US060750101021000","Block 1000, Block Group 1, Census Tract 101.02, San Francisco County, California","59","12","0","47",
"1000000US060750101021001","Block 1001, Block Group 1, Census Tract 101.02, San Francisco County, California","176","5","0","171",
"1000000US060750101021002","Block 1002, Block Group 1, Census Tract 101.02, San Francisco County, California","164","20","8","136",
"1000000US060750101021003","Block 1003, Block Group 1, Census Tract 101.02, San Francisco County, California","14","9","0","5",
"1000000US060750101021004","Block 1004, Block Group 1, Census Tract 101.02, San Francisco County, California","23","17","0","6",
"1000000US060750101021005","Block 1005, Block Group 1, Census Tract 101.02, San Francisco County, California","207","45","10","152",
"1000000US060750101021006","Block 1006, Block Group 1, Census Tract 101.02, San Francisco County, California","82","23","10","49",
"1000000US060750101021007","Block 1007, Block Group 1, Census Tract 101.02, San Francisco County, California","153","60","31","62",
"1000000US060750102011000","Block 1000, Block Group 1, Census Tract 102.01, San Francisco County, California","35","35","0","0",
"1000000US060750102011001","Block 1001, Block Group 1, Census Tract 102.01, San Francisco County, California","28","28","0","0",
"1000000US060750102011002","Block 1002, Block Group 1, Census Tract 102.01, San Francisco County, California","62","0","43","19",
"1000000US060750102011003","Block 1003, Block Group 1, Census Tract 102.01, San Francisco County, California","118","0","22","96",
